carId;carVal;valId;valVal
26250;PROCESADOR;2625899;PROCESADOR: 2 X INTEL XEON GOLD 6426Y
26250;PROCESADOR;2625903;PROCESADOR: 2 X INTEL XEON GOLD 5415+
26250;PROCESADOR;2892987;PROCESADOR: INTEL CORE I9-14900F
26250;PROCESADOR;1974133;PROCESADOR: 2 X INTEL XEON GOLD 6442Y
26250;PROCESADOR;2489426;PROCESADOR: INTEL CORE I5-14600K
26250;PROCESADOR;2489427;PROCESADOR: INTEL CORE I7-14700K
26250;PROCESADOR;2489428;PROCESADOR: INTEL CORE I9-14900K
26250;PROCESADOR;3136754;PROCESADOR: AMD RYZEN  9 7950X3D
26250;PROCESADOR;3136751;PROCESADOR: AMD RYZEN 7 7700X
26250;PROCESADOR;3136763;PROCESADOR: AMD RYZEN 9 9950X
26250;PROCESADOR;3136759;PROCESADOR: AMD RYZEN 9 9700X
26250;PROCESADOR;1925517;PROCESADOR: INTEL XEON W9-3475X
26250;PROCESADOR;1744503;PROCESADOR: INTEL CORE I7-13700
26250;PROCESADOR;1744499;PROCESADOR: INTEL CORE I5-13400
26250;PROCESADOR;1744509;PROCESADOR: INTEL CORE I9-13900KF
26250;PROCESADOR;1997685;PROCESADOR: 2 X INTEL XEON SILVER 4410Y
26250;PROCESADOR;2564536;PROCESADOR: INTEL CORE I5-14400
26250;PROCESADOR;1925513;PROCESADOR: INTEL XEON W7-3455
26250;PROCESADOR;2564539;PROCESADOR: INTEL CORE I7-14700
26250;PROCESADOR;1956392;PROCESADOR: INTEL CORE I5-13600
26250;PROCESADOR;1925505;PROCESADOR: INTEL XEON W5-3425
26250;PROCESADOR;1925511;PROCESADOR: INTEL XEON W7-3465X
26250;PROCESADOR;2553738;PROCESADOR: INTEL XEON W7-2495X
26250;PROCESADOR;2553749;PROCESADOR: AMD RYZEN THREADRIPPER PRO 7945WX
26250;PROCESADOR;2553750;PROCESADOR: AMD RYZEN THREADRIPPER PRO 7965WX
26250;PROCESADOR;1664661;PROCESADOR: 2 x INTEL XEON PLATINUM 8260
26250;PROCESADOR;1664662;PROCESADOR: INTEL CORE I7-12700K
26250;PROCESADOR;1664663;PROCESADOR: INTEL CORE I7-12700KF
26250;PROCESADOR;1664664;PROCESADOR: INTEL XEON E-2314
26250;PROCESADOR;1664665;PROCESADOR: INTEL XEON E-2334
26250;PROCESADOR;1664666;PROCESADOR: INTEL XEON E-2336
26250;PROCESADOR;1664667;PROCESADOR: INTEL XEON E-2378
26250;PROCESADOR;1664668;PROCESADOR: INTEL CORE I9-12900K
26250;PROCESADOR;1664669;PROCESADOR: INTEL XEON E-2388G
26250;PROCESADOR;1664670;PROCESADOR: INTEL XEON GOLD 5320
26250;PROCESADOR;1664671;PROCESADOR: INTEL XEON GOLD 6330
26250;PROCESADOR;1664672;PROCESADOR: INTEL XEON GOLD 6338
26250;PROCESADOR;1664673;PROCESADOR: INTEL XEON GOLD 6338T
26250;PROCESADOR;1664674;PROCESADOR: INTEL CORE I9-12900KF
26250;PROCESADOR;1664675;PROCESADOR: INTEL XEON E-2374G
26250;PROCESADOR;1664676;PROCESADOR: INTEL XEON E-2386G
26250;PROCESADOR;1664677;PROCESADOR: INTEL CORE I9-12900
26250;PROCESADOR;1664678;PROCESADOR: INTEL CORE I7-12700
26250;PROCESADOR;1664680;PROCESADOR: INTEL CORE I9-12900KS
26250;PROCESADOR;1664681;PROCESADOR: INTEL CORE I3-10105
26250;PROCESADOR;1664682;PROCESADOR: AMD RYZEN 5 4600G
26250;PROCESADOR;1664683;PROCESADOR: AMD Ryzen 7 Pro 5845
26250;PROCESADOR;1664684;PROCESADOR: AMD Ryzen 3 Pro 4350G
26250;PROCESADOR;1664685;PROCESADOR: AMD Ryzen 9 Pro 5945
26250;PROCESADOR;1664686;PROCESADOR: AMD Ryzen 5 Pro 5645
26250;PROCESADOR;1664687;PROCESADOR: INTEL XEON GOLD 6226
26250;PROCESADOR;1664688;PROCESADOR: INTEL XEON SILVER 431
26250;PROCESADOR;1664689;PROCESADOR: INTEL XEON SILVER 4314
26250;PROCESADOR;1664691;PROCESADOR: INTEL XEON W-1290
26250;PROCESADOR;1664692;PROCESADOR: INTEL CORE I9-10900
26250;PROCESADOR;1664693;PROCESADOR: INTEL CORE i9-11900
26250;PROCESADOR;1664694;PROCESADOR: INTEL CORE i9-11900F
26250;PROCESADOR;1664695;PROCESADOR: INTEL CORE i9-11900KF
26250;PROCESADOR;1664696;PROCESADOR: INTEL CORE i7-11700F
26250;PROCESADOR;1664697;PROCESADOR: INTEL CORE i5-11400
26250;PROCESADOR;1664698;PROCESADOR: INTEL CORE i5-11400F
26250;PROCESADOR;1664699;PROCESADOR: INTEL CORE I7-10700K
26250;PROCESADOR;1664700;PROCESADOR: INTEL CORE I5-10600
26250;PROCESADOR;1664701;PROCESADOR: INTEL CORE I9-10920X
26250;PROCESADOR;1664702;PROCESADOR: INTEL CORE I9-10900K
26250;PROCESADOR;1664703;PROCESADOR: INTEL CORE I5-10500
26250;PROCESADOR;1664704;PROCESADOR: INTEL XEON W-10855M
26250;PROCESADOR;1664705;PROCESADOR: INTEL CORE I5-8365U
26250;PROCESADOR;1664706;PROCESADOR: INTEL CORE I3-9100
26250;PROCESADOR;1664707;PROCESADOR: 2 X INTEL XEON GOLD 6248R
26250;PROCESADOR;1664708;PROCESADOR: INTEL CORE I7-10700
26250;PROCESADOR;1664709;PROCESADOR: INTEL XEON W-1250
26250;PROCESADOR;1664710;PROCESADOR: INTEL CORE I5-10400
26250;PROCESADOR;1664711;PROCESADOR: INTEL XEON W-1270
26250;PROCESADOR;1664712;PROCESADOR: AMD RYZEN THREADRIPPER PRO 3975WX
26250;PROCESADOR;1664713;PROCESADOR: AMD RYZEN THREADRIPPER PRO 3955WX
26250;PROCESADOR;1664714;PROCESADOR: AMD RYZEN THREADRIPPER PRO 3945WX
26250;PROCESADOR;1664715;PROCESADOR: INTEL XEON W-2235
26250;PROCESADOR;1664716;PROCESADOR: 2 X INTEL XEON SILVER 4216
26250;PROCESADOR;1664717;PROCESADOR: 2 X INTEL XEON Silver 4208
26250;PROCESADOR;1744500;PROCESADOR: INTEL CORE I5-13400F
26250;PROCESADOR;1744506;PROCESADOR: INTEL CORE I7-13700KF
26250;PROCESADOR;1744508;PROCESADOR: INTEL CORE I9-13900K
26250;PROCESADOR;1664718;PROCESADOR: AMD Ryzen THREADRIPPER 3990X
26250;PROCESADOR;1664719;PROCESADOR: INTEL XEON W-2225
26250;PROCESADOR;1664720;PROCESADOR: 2 X INTEL XEON SILVER 4210R
26250;PROCESADOR;1664721;PROCESADOR: INTEL XEON W-2245
26250;PROCESADOR;1664722;PROCESADOR: INTEL XEON SILVER 4210R
26250;PROCESADOR;1664723;PROCESADOR: INTEL XEON SILVER 4310
26250;PROCESADOR;1664724;PROCESADOR: 2 X INTEL XEON SILVER 4310
26250;PROCESADOR;1664725;PROCESADOR: INTEL CORE i5-12600
26250;PROCESADOR;1664726;PROCESADOR: INTEL XEON W-1350
26250;PROCESADOR;1664727;PROCESADOR: INTEL XEON E-2378G
26250;PROCESADOR;1664728;PROCESADOR: INTEL XEON GOLD 6342
26250;PROCESADOR;1664729;PROCESADOR: INTEL XEON E-2324G
26250;PROCESADOR;1664730;PROCESADOR: INTEL XEON E-2356G
26250;PROCESADOR;1664731;PROCESADOR: INTEL CORE i7-11700
26250;PROCESADOR;1664732;PROCESADOR: INTEL CORE i7-11700KF
26250;PROCESADOR;1664733;PROCESADOR: INTEL CORE i9-11900K
26250;PROCESADOR;1664734;PROCESADOR: INTEL CORE i7-11700K
26250;PROCESADOR;1664735;PROCESADOR: INTEL CORE I3-10300
26250;PROCESADOR;1664736;PROCESADOR: INTEL XEON W-1370
26250;PROCESADOR;1664737;PROCESADOR: INTEL XEON W-1390
26250;PROCESADOR;1664738;PROCESADOR: 2 X INTEL XEON GOLD 6240R
26250;PROCESADOR;1664739;PROCESADOR: 2 X INTEL XEON GOLD 5220R
26250;PROCESADOR;1664740;PROCESADOR: INTEL XEON GOLD 6240R
26250;PROCESADOR;1664741;PROCESADOR: INTEL XEON GOLD 5220R
26250;PROCESADOR;1664742;PROCESADOR: INTEL XEON SILVER 4214R
26250;PROCESADOR;1664743;PROCESADOR: 2 X INTEL XEON SILVER 4214R
26250;PROCESADOR;1664744;PROCESADOR: INTEL XEON SILVER 4215R
26250;PROCESADOR;1664745;PROCESADOR: 2 X INTEL XEON SILVER 4215R
26250;PROCESADOR;1664746;PROCESADOR: INTEL CORE I7-10610U
26250;PROCESADOR;1664747;PROCESADOR: INTEL XEON E-2278G
26250;PROCESADOR;1664748;PROCESADOR: INTEL CORE I5-9500
26250;PROCESADOR;1664750;PROCESADOR: INTEL CORE I7-9850H
26250;PROCESADOR;1664751;PROCESADOR: INTEL XEON E-2286M
26250;PROCESADOR;1664752;PROCESADOR: INTEL XEON Silver 4208
26250;PROCESADOR;1664753;PROCESADOR: INTEL CORE I5-9700
26250;PROCESADOR;1664754;PROCESADOR: INTEL CORE I5-9400F
26250;PROCESADOR;1664755;PROCESADOR: INTEL CORE I9-9900X
26250;PROCESADOR;1664756;PROCESADOR: INTEL XEON Silver 4216
26250;PROCESADOR;1664757;PROCESADOR: INTEL XEON E-2244G
26250;PROCESADOR;1664758;PROCESADOR: INTEL CORE I7-9700
26250;PROCESADOR;1664759;PROCESADOR: 2 X INTEL XEON GOLD 5218
26250;PROCESADOR;1664760;PROCESADOR: INTEL XEON 5218
26250;PROCESADOR;1664761;PROCESADOR: INTEL XEON E-2174G
26250;PROCESADOR;1664762;PROCESADOR: INTEL CORE I5-9400
26250;PROCESADOR;1664763;PROCESADOR: 2 X INTEL XEON Silver 4110
26250;PROCESADOR;1664764;PROCESADOR: 2 X INTEL XEON GOLD 6140
26250;PROCESADOR;1664765;PROCESADOR: INTEL XEON GOLD 6132
26250;PROCESADOR;1664766;PROCESADOR: INTEL XEON GOLD 5120
26250;PROCESADOR;1664767;PROCESADOR: INTEL XEON Silver 4112
26250;PROCESADOR;1664768;PROCESADOR: 2 X INTEL XEON GOLD 6128
26250;PROCESADOR;1664769;PROCESADOR: INTEL XEON GOLD 6122
26250;PROCESADOR;1664770;PROCESADOR: INTEL XEON GOLD 6150
26250;PROCESADOR;1664771;PROCESADOR: 2 X INTEL XEON GOLD 6144
26250;PROCESADOR;1664772;PROCESADOR: INTEL XEON E-2186
26250;PROCESADOR;1664773;PROCESADOR: 2 X INTEL XEON Silver 4112
26250;PROCESADOR;1664774;PROCESADOR: INTEL XEON E-2133
26250;PROCESADOR;1664775;PROCESADOR: INTEL XEON E-2125
26250;PROCESADOR;1664776;PROCESADOR: INTEL XEON E-2104
26250;PROCESADOR;1664777;PROCESADOR: INTEL XEON PLATINUM 8160
26250;PROCESADOR;1664778;PROCESADOR: INTEL XEON GOLD 6140
26250;PROCESADOR;1664779;PROCESADOR: INTEL XEON E-2124
26250;PROCESADOR;1664780;PROCESADOR: 2 X INTEL XEON GOLD 6150
26250;PROCESADOR;1664781;PROCESADOR: 2 X INTEL XEON PLATINUM 8160
26250;PROCESADOR;1664782;PROCESADOR: INTEL XEON GOLD 6144
26250;PROCESADOR;1664783;PROCESADOR: 2 X INTEL XEON GOLD 6132
26250;PROCESADOR;1664784;PROCESADOR: 2 X INTEL XEON GOLD 6122
26250;PROCESADOR;1664785;PROCESADOR: INTEL CORE I9-9980XE
26250;PROCESADOR;1664787;PROCESADOR: INTEL CORE I9-9900K
26250;PROCESADOR;1664788;PROCESADOR: 2 X INTEL XEON Silver 4114
26250;PROCESADOR;1664789;PROCESADOR: INTEL CORE I7-9800X
26250;PROCESADOR;1664790;PROCESADOR: AMD Ryzen 7 PRO 2700
26250;PROCESADOR;1664792;PROCESADOR: INTEL CORE I9-10900T
26250;PROCESADOR;1664793;PROCESADOR: INTEL XEON 3204
26250;PROCESADOR;1664794;PROCESADOR: INTEL CORE I7-9700K
26250;PROCESADOR;1664795;PROCESADOR: INTEL CORE I9-9900
26250;PROCESADOR;1664796;PROCESADOR: INTEL CORE I7-10700T
26250;PROCESADOR;1664797;PROCESADOR: INTEL XEON E-2246G
26250;PROCESADOR;1664798;PROCESADOR: INTEL XEON W-1250P
26250;PROCESADOR;1664799;PROCESADOR: INTEL CORE I9-10980XE
26250;PROCESADOR;1664800;PROCESADOR: INTEL CORE I9-10900X
26250;PROCESADOR;1664801;PROCESADOR: INTEL CORE I9-9920X
26250;PROCESADOR;1664802;PROCESADOR: 2 X INTEL XEON Silver 4114T
26250;PROCESADOR;1664803;PROCESADOR: INTEL XEON E-2224G
26250;PROCESADOR;1664804;PROCESADOR: INTEL XEON Silver Processor 4210
26250;PROCESADOR;1664805;PROCESADOR: INTEL XEON PLATINUM 8276
26250;PROCESADOR;1664806;PROCESADOR: AMD Ryzen THREADRIPPER 3960X
26250;PROCESADOR;1664807;PROCESADOR: AMD Ryzen 9 3950X
26250;PROCESADOR;1664808;PROCESADOR: 2 X INTEL XEON PLATINUM 8276
26250;PROCESADOR;1664809;PROCESADOR: INTEL XEON Silver Processor 4214
26250;PROCESADOR;1664810;PROCESADOR: 2 X INTEL XEON Silver Processor 4214
26250;PROCESADOR;1664811;PROCESADOR: 2 X INTEL XEON Silver Processor 4210
26250;PROCESADOR;1664812;PROCESADOR: INTEL XEON E-2224
26250;PROCESADOR;1664813;PROCESADOR: INTEL XEON E-2236
26250;PROCESADOR;1664814;PROCESADOR: INTEL XEON E-2276G
26250;PROCESADOR;1664815;PROCESADOR: INTEL XEON GOLD 6244
26250;PROCESADOR;1664816;PROCESADOR: 2 X INTEL XEON GOLD 6244
26250;PROCESADOR;1664817;PROCESADOR: INTEL XEON W-2223
26250;PROCESADOR;1664818;PROCESADOR: INTEL CORE I5-7640X
26250;PROCESADOR;3922222;PROCESADOR: INTEL XEON 6521P
26250;PROCESADOR;1664819;PROCESADOR: INTEL CORE I7-7820X
26250;PROCESADOR;1664820;PROCESADOR: INTEL CORE I9-7900X
26250;PROCESADOR;1664821;PROCESADOR: INTEL CORE I7-7740X
26250;PROCESADOR;1664822;PROCESADOR: INTEL CORE I3-8100
26250;PROCESADOR;1664823;PROCESADOR: INTEL CORE I3-8350K
26250;PROCESADOR;1664824;PROCESADOR: INTEL CORE I7-8700K
26250;PROCESADOR;1664825;PROCESADOR: INTEL CORE I7-8700
26250;PROCESADOR;1664826;PROCESADOR: INTEL CORE I5-8400
26250;PROCESADOR;1664827;PROCESADOR: INTEL CORE I5-8600K
26250;PROCESADOR;1664828;PROCESADOR: INTEL XEON E3-1245 V6
26250;PROCESADOR;1664829;PROCESADOR: INTEL CORE I3-7100
26250;PROCESADOR;1664830;PROCESADOR: INTEL XEON E3-1225 V6
26250;PROCESADOR;1664831;PROCESADOR: INTEL XEON E5-2650 V4
26250;PROCESADOR;1664832;PROCESADOR: INTEL XEON E5-1607 V4
26250;PROCESADOR;1664833;PROCESADOR: INTEL XEON E5-2630 V4
26250;PROCESADOR;1664834;PROCESADOR: INTEL XEON E3-1231 V3
26250;PROCESADOR;1664835;PROCESADOR: INTEL XEON E3-1245 V5
26250;PROCESADOR;1664836;PROCESADOR: INTEL XEON E5-2670
26250;PROCESADOR;1664837;PROCESADOR: INTEL CORE I7-5930K
26250;PROCESADOR;1664838;PROCESADOR: INTEL XEON E3-1240 V5
26250;PROCESADOR;1664839;PROCESADOR: INTEL XEON E3-1276 V3
26250;PROCESADOR;1664840;PROCESADOR: 2 X INTEL XEON E5-2660 V3
26250;PROCESADOR;1664841;PROCESADOR: INTEL XEON E5-1680 V4
26250;PROCESADOR;1664842;PROCESADOR: INTEL XEON E3-1220 V5
26250;PROCESADOR;1664843;PROCESADOR: INTEL XEON E5-1607 V3
26250;PROCESADOR;1664844;PROCESADOR: INTEL XEON E5-2603 V2
26250;PROCESADOR;1664845;PROCESADOR: INTEL XEON E5-2637 V4
26250;PROCESADOR;1664846;PROCESADOR: INTEL CORE I7-6700K
26250;PROCESADOR;1664847;PROCESADOR: INTEL XEON E3-1270 V6
26250;PROCESADOR;1664848;PROCESADOR: INTEL CORE I7-7700
26250;PROCESADOR;1664849;PROCESADOR: INTEL XEON E3-1240 V6
26250;PROCESADOR;1664850;PROCESADOR: INTEL XEON E3-1230 V6
26250;PROCESADOR;1664851;PROCESADOR: INTEL XEON W-2102
26250;PROCESADOR;1664852;PROCESADOR: INTEL XEON Silver 4108
26250;PROCESADOR;1664853;PROCESADOR: INTEL XEON Silver 4116
26250;PROCESADOR;1664854;PROCESADOR: INTEL XEON W-2123
26250;PROCESADOR;1664855;PROCESADOR: INTEL XEON Silver 4114
26250;PROCESADOR;1664856;PROCESADOR: INTEL XEON E-2126G
26250;PROCESADOR;1664857;PROCESADOR: INTEL XEON E-2146G
26250;PROCESADOR;1664858;PROCESADOR: INTEL XEON E-2176G
26250;PROCESADOR;1664859;PROCESADOR: INTEL XEON E-2144G
26250;PROCESADOR;1664860;PROCESADOR: INTEL XEON E-2104G
26250;PROCESADOR;1664861;PROCESADOR: INTEL XEON W-2255
26250;PROCESADOR;1664862;PROCESADOR: 2 X INTEL XEON 5218
26250;PROCESADOR;1664863;PROCESADOR: AMD Ryzen 5 PRO 2600
26250;PROCESADOR;1664864;PROCESADOR: INTEL XEON Gold 6138
26250;PROCESADOR;1664865;PROCESADOR: INTEL XEON E-2136
26250;PROCESADOR;1664866;PROCESADOR: INTEL XEON E-2124G
26250;PROCESADOR;1664867;PROCESADOR: INTEL CORE I5-8500
26250;PROCESADOR;1664868;PROCESADOR: INTEL XEON Gold Processor 6136
26250;PROCESADOR;1664869;PROCESADOR: INTEL XEON Silver Processor 4114
26250;PROCESADOR;1664870;PROCESADOR: INTEL XEON Platinum Processor 8176
26250;PROCESADOR;1664871;PROCESADOR: INTEL XEON Gold Processor 5118
26250;PROCESADOR;1664872;PROCESADOR: 2 X INTEL XEON Gold Processor 6136
26250;PROCESADOR;1664873;PROCESADOR: 2 X INTEL XEON Silver Processor 4114
26250;PROCESADOR;1664874;PROCESADOR: 2 X INTEL XEON Gold Processor 5118
26250;PROCESADOR;1664875;PROCESADOR: 2 X INTEL XEON Platinum Processor 8176
26250;PROCESADOR;1664876;PROCESADOR: INTEL XEON Gold 6128
26250;PROCESADOR;1664877;PROCESADOR: INTEL XEON E5-2640 V4
26250;PROCESADOR;1664878;PROCESADOR: 2 X INTEL XEON Gold 6134
26250;PROCESADOR;1664879;PROCESADOR: INTEL CORE I7-7700T
26250;PROCESADOR;1664880;PROCESADOR: INTEL XEON W-2195
26250;PROCESADOR;1664881;PROCESADOR: INTEL XEON W-2135
26250;PROCESADOR;1664882;PROCESADOR: INTEL XEON W-2145
26250;PROCESADOR;1664883;PROCESADOR: INTEL XEON W-2175
26250;PROCESADOR;1664884;PROCESADOR: INTEL XEON W-2155
26250;PROCESADOR;1664885;PROCESADOR: AMD Ryzen 7 1800X
26250;PROCESADOR;1664886;PROCESADOR: AMD Ryzen Threadripper 1900X
26250;PROCESADOR;1664887;PROCESADOR: AMD Ryzen Threadripper 1950X
26250;PROCESADOR;1664888;PROCESADOR: INTEL XEON Gold 6134
26250;PROCESADOR;1664889;PROCESADOR: 2 X INTEL XEON Silver 4108
26250;PROCESADOR;1664890;PROCESADOR: INTEL XEON Gold 6130
26250;PROCESADOR;1664891;PROCESADOR: INTEL CORE I9-7960X
26250;PROCESADOR;1664892;PROCESADOR: INTEL CORE I9-7920X
26250;PROCESADOR;1664893;PROCESADOR: INTEL XEON Silver 4110
26250;PROCESADOR;1664894;PROCESADOR: 2 X INTEL XEON Silver 4116
26250;PROCESADOR;1664895;PROCESADOR: INTEL CORE I9-7980XE
26250;PROCESADOR;1664896;PROCESADOR: INTEL CORE I9-7940X
26250;PROCESADOR;1664897;PROCESADOR: AMD Ryzen 5 PRO 2500U
26250;PROCESADOR;1664898;PROCESADOR: INTEL XEON Silver 4214
26250;PROCESADOR;1664899;PROCESADOR: INTEL XEON Gold 5218
26250;PROCESADOR;1664900;PROCESADOR: INTEL XEON W-3175X
26250;PROCESADOR;1664901;PROCESADOR: INTEL CORE I9-9820X
26250;PROCESADOR;1664902;PROCESADOR: INTEL CORE I5-9600K
26250;PROCESADOR;1664903;PROCESADOR: INTEL XEON E3-1225 V5
26250;PROCESADOR;1664904;PROCESADOR: INTEL XEON E-2186G
26250;PROCESADOR;1664907;PROCESADOR: INTEL CORE I7-9700F
26250;PROCESADOR;1664908;PROCESADOR: INTEL CORE I7-9700KF
26250;PROCESADOR;1664909;PROCESADOR: 2 X INTEL XEON GOLD 6230
26250;PROCESADOR;1664910;PROCESADOR: AMD Ryzen THREADRIPPER 3970X
26250;PROCESADOR;1664911;PROCESADOR: 2 X INTEL XEON GOLD 6246
26250;PROCESADOR;1664912;PROCESADOR: AMD Ryzen 9 3900X
26250;PROCESADOR;1664913;PROCESADOR: AMD Ryzen 7 3800X
26250;PROCESADOR;1664914;PROCESADOR: AMD Ryzen 7 3700X
26250;PROCESADOR;1664915;PROCESADOR: INTEL XEON GOLD 6240
26250;PROCESADOR;1664916;PROCESADOR: 2 X INTEL XEON GOLD 6240
26250;PROCESADOR;1664917;PROCESADOR: INTEL XEON E5-2403 V2
26250;PROCESADOR;1664918;PROCESADOR: INTEL XEON E5-2670 V3
